village_id,year,structure_type,count,estimated_recharge_mcm,status,notes,data_source
RKT001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT005,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT005,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT005,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT005,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT006,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT006,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT006,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT006,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT007,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT007,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT007,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT007,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT008,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT008,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT008,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT008,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT009,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT009,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT009,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT009,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT010,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT010,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT010,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT010,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT011,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT011,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT011,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT011,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT012,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT012,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT012,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT012,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT013,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT013,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT013,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT013,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT014,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT014,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT014,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT014,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
RKT015,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
RKT015,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
RKT015,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
RKT015,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JNG001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JNG001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JNG001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JNG001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JNG002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JNG002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JNG002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JNG002,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JNG003,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JNG003,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JNG003,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JNG003,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JNG004,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JNG004,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JNG004,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JNG004,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JNG005,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JNG005,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JNG005,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JNG005,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JNG006,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JNG006,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JNG006,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JNG006,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JNG007,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JNG007,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JNG007,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JNG007,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
JNG008,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
JNG008,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
JNG008,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
JNG008,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR001,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR001,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR001,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
AMR001,2024,percolation_tank,2,2.1,planned,Sujalam Sufalam Jal Abhiyan,estimated
AMR002,2021,check_dam,4,1.8,operational,Govt watershed scheme,estimated
AMR002,2022,farm_pond,12,0.9,operational,Farmer-led community pond,estimated
AMR002,2023,recharge_borewell,25,0.45,operational,Direct aquifer injection,estimated
